deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
dep01,,,,,,2020-02-13T12:51:09+01:00,2020-02-13T13:49:03+01:00,Pau Enric Serra Marin,RP_imx219,RaspberryPi-RP_imx219,,,,,,,False,False,,,,,
dep02,,,,,,2020-05-08T11:30:04+02:00,2020-05-08T11:30:04+02:00,Pau Enric Serra Marin,RP_imx219,RaspberryPi-RP_imx219,,,,,,,False,False,,,,,
dep03,,,,,,2020-05-11T11:43:17+02:00,2020-05-11T12:06:33+02:00,Pau Enric Serra Marin,RP_imx219,RaspberryPi-RP_imx219,,,,,,,False,False,,,,,
dep04,,,,,,2020-05-12T11:58:42+02:00,2020-05-12T13:25:38+02:00,Pau Enric Serra Marin,RP_imx219,RaspberryPi-RP_imx219,,,,,,,False,False,,,,,
dep05,,,,,,2020-06-02T10:18:20+02:00,2020-06-02T11:27:42+02:00,Pau Enric Serra Marin,RP_imx219,RaspberryPi-RP_imx219,,,,,,,False,False,,,,,
dep06,,,,,,2020-05-06T11:17:31+02:00,2020-05-06T12:21:20+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep07,,,,,,2020-05-08T12:08:31+02:00,2020-05-08T13:28:10+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep08,,,,,,2020-05-11T11:25:34+02:00,2020-05-11T11:42:17+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep09,,,,,,2020-05-12T11:51:37+02:00,2020-05-12T13:23:10+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep10,,,,,,2020-05-19T11:15:29+02:00,2020-05-19T11:47:19+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep11,,,,,,2020-05-20T15:38:53+02:00,2020-05-20T15:38:53+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep12,,,,,,2020-06-02T10:30:54+02:00,2020-06-02T10:35:27+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep13,,,,,,2021-04-01T17:24:24+02:00,2021-04-01T20:42:13+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep14,,,,,,2021-04-16T01:38:39+02:00,2021-04-16T02:31:37+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
dep15,,,,,,2021-05-30T09:20:36+02:00,2021-05-30T10:47:14+02:00,Pau Enric Serra Marin,RP_ov5647,RaspberryPi-RP_ov5647,,,,,,,False,False,,,,,
